<<<<<<< Updated upstream
.rownames	city	confirmed	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
45	Gangseo-gu	27	36	56	1	1.17	14.39	5.7	1080	4. High	-1.52708411245077	0.3210858366334521	-0.32939653044126294	1.1055428417759703	-0.8123946858711346	-0.04631115562357546	-0.06564249776872369
46	Gangseo-gu	27	17	21	0	1.43	11.84	5	147	4. High	-0.0038150229919567125	1.8224974706693415	0.3400520439559129	0.4821614834684074	0.5511798525377215	-0.0867045536634234	-0.09483697035793928
47	Gapyeong-gun	1	13	14	0	0.88	25.09	12	114	2. Low	1.6033555447481198	0.3956539778593309	0.09468755145947844	0.3467242289667072	0.05219486249265082	-0.05551375835179334	0.15502420655793803
48	Geochang-gun	19	17	16	2	1.25	27.01	17.4	127	3. Moderate	1.3740531917280223	-0.4400214743206328	0.047212358786174	-0.9263196677622227	0.029346735941009228	0.024172132686319292	-0.3034208451055346
49	Geoje-si	6	38	58	1	1.76	10.22	4.7	317	2. Low	-1.4951644406277667	0.9996546869381072	0.07206843261973069	0.388191118302313	0.9851202412784845	-0.06842084498046162	-0.1031997735635159
50	Geumcheon-gu	13	18	19	0	0.96	16.15	6.7	475	3. Moderate	0.28333012813215874	1.1389149594020755	0.19891547136027166	0.9182971692129447	-0.3350994652685262	-0.16526593795600875	-0.05139762233769248
51	Geumjeong-gu	6	22	28	4	1.64	19.8	8.4	466	2. Low	-0.7065244408681773	0.23990934493961483	0.7029627522031113	-1.194162811866177	-0.42329887353426293	-0.056783077608865355	0.11841539122138725
52	Gijang-gun	1	21	35	0	1.31	15.45	7.4	229	2. Low	0.07331513932422803	1.0979084024380736	0.061486422587954725	0.5903168371205924	0.49863765838899204	0.0746840838852559	-0.03098591390860076
53	Gimcheon-si	24	27	37	2	0.89	22.35	12.2	212	4. High	0.4660902829403091	-0.4360184530086598	0.5928720477651046	0.08086324443653824	0.10611611165565399	-0.020271598127604734	-0.08913357278111783
54	Gimhae-si	10	58	91	4	2.1	10.74	5.3	711	3. Moderate	-3.3238626101988147	-0.3434661586809304	0.14554450779417027	-0.42873945920965273	0.6631875072807727	-0.05623203755360988	-0.11740263068125913
55	Gimje-si	1	36	40	0	1.11	30.89	17.9	188	2. Low	1.2961415533326532	-1.1236994120645107	-0.8809873528121452	0.15033240607124126	0.6031612635209564	-0.2569178774176912	0.010041728908532943
56	Gimpo-si	13	43	90	2	1.74	12.1	4.4	604	3. Moderate	-2.3383085425503176	0.20648537242668746	-0.009000333678584299	0.42671730987127077	0.6627834601335884	0.3777786540719574	0.18550349004947483
57	Goesan-gun	11	14	15	1	0.36	33.01	16.5	64	3. Moderate	2.406331910257577	-0.9062087740385747	0.42718097002143224	0.19211198645541447	-0.3066865754104773	-0.032564160649838345	0.24905849767879643
58	Goryeong-gun	9	9	9	0	0.62	30.17	15.9	62	3. Moderate	2.4428945847286	-0.18935797969828097	0.03572669487385044	0.2420680005787834	-0.14549421653793282	0.03730759918527316	0.11140638689026683
59	Goseong-gun	2	13	11	1	0.48	28.53	14.6	41	2. Low	2.086327986244784	-0.36688425985035644	0.605138424968434	0.20818159499372782	-0.2022400109326945	-0.07174553762987682	0.08460290308068288
60	Goseong-gun	2	19	18	0	1.3	30.17	18.2	89	2. Low	1.881177505432853	-0.3452337088608398	-0.7867744477057622	-0.4144852895085917	0.39659064647910625	-0.06182722381106895	-0.08333904163762229
61	Goyang-si	25	84	171	2	1.88	12.82	5.2	1608	4. High	-5.052616416260623	-1.8412614275286932	-1.622892751314572	1.568369627203539	0.32084198539329156	0.5613230337061772	0.243486504272196
62	Gumi-si	67	50	104	3	1.96	9.08	4.3	616	4. High	-3.1148661643956386	-0.007320566213692668	0.14610959299626256	0.11680082891056377	0.9081527274819139	0.4642058300417405	-0.009017820109628524
63	Gunpo-si	29	26	49	1	1.58	12.42	5.4	429	4. High	-0.9877497614924436	1.0879720803366761	0.10549337362645092	0.3500117888821491	0.3754064601732831	0.1783551194675645	-0.02346934168545252
64	Gunsan-si	3	56	67	5	2.04	18.07	8.8	494	2. Low	-2.3604758927505305	-0.9016545891289339	0.3962736593445034	-1.293370740699458	0.5515442122429972	-0.44861097343714257	-0.006214592482366672
65	Gunwi-gun	6	7	8	0	0.25	38.87	21.6	41	2. Low	3.52083037018489	-1.2775623034870243	-0.1912685663512833	0.1493186471247537	-0.4275135194681672	0.14286999035510217	0.16435687660639328
66	Guri-si	4	16	30	0	1.94	12.88	5.1	418	2. Low	-0.5613844392178935	1.9192637416009501	-0.4208545895183934	0.04766516181106768	0.34495866572478484	0.1314818143718412	0.0511007563303438
67	Guro-gu	34	26	34	3	1	16.21	5.7	741	4. High	-0.9292113536362256	0.2905691928281028	0.8750673423131377	0.20906278721761068	-0.9377078351447744	-0.13099903994420398	0.02833585857977077
68	Gwacheon-si	6	4	7	0	1.36	13.98	5.7	92	2. Low	0.6713268149233325	2.078969873096111	0.46157455345489184	0.22294450814017014	0.23896568711191873	0.09301636263871409	-0.0017994917765354335
69	Gwanak-gu	41	22	33	1	0.89	15.12	4.9	909	4. High	-0.6711854185904911	0.805141930314951	0.24159766257834492	1.0568488529944715	-1.098354075242737	-0.04434489512609495	0.029295224311064225
70	Gwangjin-gu	7	22	33	3	1.16	13.75	4.8	723	3. Moderate	-1.0849842079843477	0.6945527537265997	0.9061073195252137	0.08213654062239276	-0.8725255585275098	0.0018265009219209753	-0.04097211816116889
71	Gwangju-si	13	27	42	2	1.09	12.65	4	406	3. Moderate	-0.8962147268994574	0.7961529725462039	0.9674857399165991	0.5553803688158149	-0.008705309958002644	-0.03648167217317939	0.04545001183071305
72	Gwangmyeong-si	12	25	48	0	1.73	13.25	5.8	530	3. Moderate	-0.8828396420573539	1.2963250340697912	-0.4965828268670032	0.49604642866026327	0.35701022743220645	0.18405919931052295	0.014391497824930943
73	Gwangyang-si	1	28	37	2	1.63	12.65	6.8	210	2. Low	-0.7911673166728795	0.9231610330213136	0.545162048166562	-0.2391767065542977	0.5980590562057329	-0.08192132221541946	-0.2164730915049439
74	Gyeongju-si	48	43	61	4	1.34	21.66	11	407	4. High	-1.05186883872629	-1.094697995303495	0.6132024472469164	-0.5941279582659279	0.19221057737129071	-0.10544214847849066	0.03238259650994992
75	Gyeongsan-si	628	31	61	10	1.34	16.18	7	427	4. High	-2.4329061817252544	-1.2959766386696543	3.0596151002018326	-2.3756716153354436	-0.7861942819674324	0.3771850098158633	0.0018972442486167652
76	Gyeryong-si	1	5	8	0	1.3	11.3	5.1	61	2. Low	0.5310015095111766	2.211912374803097	0.6517545714155346	0.3876248149017632	0.3325497224706043	0.09503749541385523	-0.16306343403498613
77	Gyeyang-gu	7	26	36	2	1.25	11.81	5.2	477	3. Moderate	-0.9169041465641625	0.9109312538995084	0.7414952794630918	0.3240803557633663	-0.11448774341636597	-0.06467801534400885	-0.1894226122549743
78	Haeundae-gu	20	33	39	1	1.63	16.53	7.9	814	4. High	-1.0260425126883386	0.5758959285183692	-0.594342816079863	0.21694023526606865	-0.331712208663081	-0.24087457884507124	-0.12000862812030444
79	Haman-gun	1	16	20	0	1.19	23.74	14.7	94	2. Low	1.4325032686393624	0.2816415720340589	-0.2921345773891206	-2.6924868221743503e-4	0.38204414421986543	0.06628858929140395	-0.21509068579124183
80	Hamyang-gun	1	13	12	0	1.01	32.65	20.9	83	2. Low	2.5437200475625894	-0.6544167899559934	-0.7037004213014109	-0.38232488181959273	0.09026272043166939	0.08374484269377826	-0.21761977568330648
81	Hanam-si	3	20	34	0	1.16	12.43	4.8	381	2. Low	-0.2682353919743598	1.4073789916304922	0.28749915525530445	0.9724288987404638	0.15239915034677115	0.05393407363519648	-0.033798141981613
82	Hapcheon-gun	8	17	15	0	0.71	38.44	24.7	96	3. Moderate	3.112423833129863	-1.5785740098273089	-0.8756681938286344	-0.29657898299929963	-0.047968615696293515	0.03474721225762383	-0.20166890459393494
83	Hongseong-gun	2	21	26	2	1.35	23.11	11.3	179	2. Low	0.47273197039046466	0.11839683839121676	0.31518250394885	-0.5502946439038972	0.16391443914990422	-0.05953026474797595	0.10681234293115531
84	Hwaseong-si	20	92	167	6	1.72	8.58	3.3	1001	4. High	-5.5845488394956035	-2.3313721353058496	0.6440049850533323	0.4566788252495841	0.9843608135927717	0.2357130668649215	0.06562935404452218
85	Hwasun-gun	1	16	19	0	1.32	26.14	17.4	132	2. Low	1.6344366821535306	0.004355382646697638	-0.6613802258113652	-0.3087895304719715	0.34407321188609696	0.10160958893973217	-0.3193959048293015
86	Icheon-si	10	31	51	2	1.76	13.71	5.8	333	3. Moderate	-1.2195918008124407	0.7734277412828849	0.2808760521591132	-0.19103444698996822	0.5903343054699262	0.04636217961854728	0.04878856661941354
87	Iksan-si	1	60	83	2	2.18	18.85	9.3	556	2. Low	-2.156014759098032	-0.6370842756703475	-0.9040050472745246	-0.3211253472670452	1.1098011972449378	-0.31405380287876566	0.12248517373899359
88	Inje-gun	1	13	15	0	0.88	19.88	10.4	46	2. Low	1.295504572984713	0.8112095768889369	0.4084310497978466	0.5296426576349289	0.2591741828312943	-0.01320790135753079	-0.08853989024476264
89	Jeonju-si	7	73	120	7	3.02	14.4	6.8	1381	3. Moderate	-5.361260138859212	-1.4931551571457278	-0.6601432950805395	-1.975573297482892	-0.057220200007259914	0.0552889964204398	0.05448350655355569
90	Jeungpyeong-gun	2	4	5	0	1.39	16.59	8.7	62	2. Low	1.032388041033747	1.7318836278376273	0.22492057823127304	-0.02572626942257518	0.2679957587249865	0.11177817394031517	-0.12800068513334287
91	Jincheon-gun	1	15	16	0	1.15	16.16	8.3	121	2. Low	0.7048516126350772	1.266972687252289	0.31763854633554567	0.472517731246184	0.33838296565007553	-0.07403403402530724	-0.1520361859741297
92	Jinju-si	9	45	53	6	2.49	16.27	8.6	597	3. Moderate	-2.5879779284062323	-0.325264701666299	0.4077718591706192	-2.2325472247531377	0.15369380531066246	-0.28578354437346287	-0.14057005309201834
93	Jongno-gu	16	13	17	3	1.71	18.27	6.8	668	3. Moderate	-0.6112101379223293	0.9830124994739646	0.3268310545312594	-0.9368960140503262	-0.8696563204406034	0.010712203744092114	0.14311892252966624
94	Jung-gu	22	12	14	2	0.94	18.42	7.4	728	4. High	0.04504019218377714	0.7354309124276865	0.5769961854690535	0.1851288632643432	-1.256398642251734	-0.018133067660526074	-0.010153638904450701
95	Jung-gu	22	4	4	0	1.36	26	13	182	4. High	1.692679491482497	0.8396101649845037	-0.3918856546349855	-0.37760922725655005	-0.098270851060837	0.09703173128223928	0.15061447679825568
96	Jung-gu	22	10	12	0	4.03	20.29	9.6	594	4. High	-0.8821311038788666	2.6067564085125157	-2.7986201365783394	-2.7209025566848113	0.6578766664405872	0.05461811243440212	0.3007706953592648
97	Jung-gu	22	14	17	0	0.8	14.14	6.7	177	4. High	0.6525008451749894	1.321158558218542	0.7198045019687367	0.9856530674151514	0.08279548574186335	-0.04218263539383384	-0.17884189506150178
98	Jung-gu	22	27	43	1	1.43	18.39	8.2	518	4. High	-0.4601977388674857	0.47909479098960933	-0.18126295166696385	0.24101431954841085	0.02506039694495818	0.026957468677610043	0.09075776227776769
99	Jung-gu	22	21	37	0	2.03	14.15	6.5	323	4. High	-0.5573395993326654	1.6021018083353322	-0.5692695270058139	-0.07166389040434165	0.7012974127798153	0.1151474226517227	0.03905817128742965
100	Jungnang-gu	16	23	31	1	0.7	16.65	6.9	689	3. Moderate	-0.15585500299966204	0.48381045657584454	0.4632266504377383	1.0604773908659766	-0.7964863776791711	-0.08698419863909276	-0.07061800014375912
101	Mapo-gu	19	22	24	2	1.83	14.05	4.9	929	3. Moderate	-1.3346797621893436	1.293125388589748	-0.20168586257695442	-0.3207155806940949	-0.8872137929662332	-0.18156149844723657	-0.025429711004847477
102	Michuhol-gu	11	29	43	2	0.9	16.29	6.8	643	3. Moderate	-0.6964721308859472	0.16834041867101732	0.6201458545693623	0.6603023190039657	-0.531745137335985	-0.04555687466998384	-0.03536750973888884
103	Miryang-si	5	21	25	0	1.39	27.31	16.3	178	2. Low	1.3610117885930928	-0.12135663278639669	-0.7882051279072843	-0.2586103428558306	0.40739605677332036	-0.010370588278852559	-0.08413861137357653
104	Mokpo-si	5	33	55	3	2.11	15.88	8.8	406	2. Low	-1.4433043546807935	0.31168149066530715	-0.012372678827686234	-1.0047980304714446	0.5453243697506189	0.14202607707310455	-0.08677213562488754
105	Muan-gun	2	18	21	2	2.12	20.82	11.8	141	2. Low	0.12601722989740288	0.7568513412149885	-0.24003586987604258	-1.4259362003483935	0.5425536336376279	0.006144830889980756	-0.06539632699207762
106	Mungyeong-si	4	17	26	1	1.18	29.25	17.1	147	2. Low	1.5435062581271302	-0.5066021700522316	-0.32479601805812947	-0.4864911513145815	0.14692645990435615	0.16492149174283924	-0.015405890281478783
107	Nam-gu	28	21	27	4	1.24	19.13	7.9	475	4. High	-0.526150117039004	0.13149540658740883	1.0972424774402603	-0.7376718864081814	-0.6489346838762675	-0.050960600513850436	0.07102239934623292
108	Nam-gu	28	11	15	2	0.85	22.49	10.4	345	4. High	0.8477872768349446	0.2849487496117987	0.7415395327880553	-0.07975434035537068	-0.6472687601128938	0.06257246445598755	0.06098600493593307
109	Nam-gu	28	23	44	4	2.63	16.76	7.5	427	4. High	-1.6368577710521888	0.8262534943951724	-0.018713571363426378	-2.0379721147238032	0.32652812362334466	0.251376730137792	0.17057905143993934
110	Nam-gu	28	30	44	1	3.23	11.42	4.8	765	4. High	-2.318459572064336	2.010795543630159	-1.5986846759668454	-1.2663010024235077	0.5755881951008552	-0.042763318064341783	0.03803076418220442
111	Namdong-gu	10	38	77	0	1.39	12.68	5.5	955	3. Moderate	-1.7420994368855283	0.4721551546462634	-0.7327199103230685	1.3779596082442547	-0.09082323991294405	0.3016007602605562	-0.015140618371758313
112	Namhae-gun	1	13	10	1	1.03	36.92	23.3	88	2. Low	2.737885478265901	-1.2379871979359538	-0.650694650917379	-0.954156316333747	-0.11332605484650948	0.07575322049140668	-0.15372509936284962
113	Namyangju-si	23	64	110	1	1.38	13.44	5	912	4. High	-2.8077133085456873	-0.6909211986683462	-0.5812721376811709	1.5484045833377178	0.5825380600868464	0.0068745571392860826	0.1519203695024344
114	Nowon-gu	23	42	66	6	1.39	15.4	7.4	952	4. High	-2.514673516293661	-0.9114503458782665	1.091612371118346	-0.7843370123656335	-0.9479928345241397	0.056061457753099425	-0.17282686386852103
115	Osan-si	7	23	50	2	1.25	9.09	3.6	314	3. Moderate	-1.1110727576134314	1.128610576601221	1.0551679518528876	0.47552091974375427	0.2965354205129399	0.30625956185152153	-0.10999286406226938
116	Paju-si	6	57	98	1	1.34	13.52	5.3	573	2. Low	-2.166166372463709	-0.39294929829934616	-0.16297383733800624	1.303492720144594	0.9582425642882331	0.017731411778208413	0.14765870581942242
117	Pocheon-si	11	31	33	2	0.89	18.92	8.2	209	3. Moderate	-1.5261421349502258e-4	0.03387767102260307	0.9073081611693801	0.34505424099317494	0.17140788554273328	-0.3250104585699523	0.0347229149172686
118	Pohang-si	50	66	117	4	1.51	16.44	8	877	4. High	-3.167743278735719	-1.7059998313722213	0.05655553021714038	0.2787156260730385	0.38003477170206335	0.17684393268337167	0.07074190796485126
119	Pyeongtaek-si	37	58	108	3	1.39	12.13	5.6	765	4. High	-2.9143601823973646	-0.8484527405582729	0.27089129958298536	0.762684757434896	0.49588748589456855	0.2507418719407807	-0.009866984428656293
120	Sacheon-si	2	18	20	0	1.84	21.17	11.7	191	2. Low	0.6180825123401373	0.9656588145312006	-0.7178830043899505	-0.4599713050895536	0.568033279974257	-0.05602589770335147	-0.04222026957207856
121	Saha-gu	10	26	42	2	1.34	17.76	8.1	541	3. Moderate	-0.6156170554587963	0.3187569840007863	0.24210874362003265	0.020194029303351332	-0.21001581397838925	0.06519167258153274	0.019301497722995973
122	Samcheok-si	1	19	17	0	1.01	24.26	13	94	2. Low	1.4162752001522443	0.25860804888244787	-0.07001968240929501	0.26074920211629626	0.30047820184086316	-0.16724872558623388	-0.028467067484985425
123	Sancheong-gun	1	13	11	0	0.65	35.42	20.6	72	2. Low	2.8778735387260697	-0.9655776137886405	-0.44879678629307934	-0.06147891263659534	-0.11601704477452035	0.009028504711184472	0.00941072386806157
124	Sangju-si	15	28	35	0	1.03	30.09	17.3	186	3. Moderate	1.4894084492080057	-0.8307727863342153	-0.6921337724887374	0.16463528845019812	0.3952162442541947	-0.07588637969702977	0.01636598847450107
125	Sasang-gu	2	21	31	3	0.78	17	8.1	317	2. Low	-0.0843448694754464	0.14197402826013553	1.3611010087682107	0.10971762537901486	-0.37162314323035484	0.04060837550026922	-0.12150960260441646
126	Seo-gu	31	11	9	0	1.02	24.36	12.3	235	4. High	1.5022203379823942	0.5725499109587306	-0.11377386947366247	0.1861357162520534	-0.17057313756918818	-0.0570747125348434	0.033799052867377534
127	Seo-gu	31	17	23	0	0.83	21.29	10.1	374	4. High	0.8952621509619413	0.4992628137461431	0.060116408454549214	0.7711250930095174	-0.25084041904798415	-0.018618698205635862	0.02799794193582699
128	Seo-gu	31	30	55	0	2.5	13.52	6.1	676	4. High	-1.5957833006526698	1.4621710951738032	-1.3779997825540689	-0.2054701431436639	0.6018545038278145	0.16162903059230477	0.07874747739838302
129	Seo-gu	31	44	80	0	1.4	10.02	3.9	670	4. High	-1.8849594101199032	0.6235468347959906	-0.3360369996932413	1.4861354692667685	0.6003784815028359	0.12218677390386495	-0.02132726780415964
130	Seo-gu	31	39	78	3	1.81	12.05	4.9	1123	4. High	-2.7706892346611642	0.1727601518517109	-0.21360785482959305	0.05255651631559222	-0.5671484913096002	0.3336326522722604	-0.023829687167040564
131	Seocho-gu	30	24	27	1	2.6	13.39	3.8	1465	4. High	-2.249653524126194	1.8673517628115475	-1.6648563595185966	-0.5371675093248691	-1.309532442274322	-0.21082381104512354	0.05877631153093618
132	Seodaemun-gu	18	19	25	6	1.12	16.77	6.2	587	3. Moderate	-1.0835671880031899	0.01800789578039463	1.9436981013237569	-1.1311574998655904	-1.2043087661264948	-0.004420680217687535	0.002415342755900631
